Signature,Time,Action,From,To,Amount,Decimals,TokenAddress
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EWEnCjfSGeWg5C58DBuXM4uECoVaAPCpaFibK1V3B6ei,2257427,9,SOL
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,maADbn7DP7N5UhnP93KngcNjH8uyB7qwiFHEa3Ko9WX,4514855,9,SOL
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,EKEy7ZSrLa2Nxb3RwnZF9NcidbEfbqu3DPwxwtrmnSRk,180594,9,SOL
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,CfYXwxCk7Be8u1aHz9yvtX3TjBq3C4R18WVZqazRuYqj,270891,9,SOL
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,902971,9,SOL
34PAFZYx63H6xEsikT8TVkRxDCJheNVd3Q5CcBgvz34mNpX9Zy3VrniNGLjnSR79RtD8TStPFz9xr8moyLuCJwg7,1718115294,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,32hYcE6771ouLz2SQFYpbtYoesnM5JJg1aiFp5fcN4CF,902971,9,SOL
2nFMofYADecP7agJWLzsHTPWRA7KXbHinD2sc47eVW8UUWUx2MtXArJJDfMtpeoG7vkmTnfm1F64sF9iQjGagTpq,1718115279,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,1129732198,9,So11111111111111111111111111111111111111112
2nFMofYADecP7agJWLzsHTPWRA7KXbHinD2sc47eVW8UUWUx2MtXArJJDfMtpeoG7vkmTnfm1F64sF9iQjGagTpq,1718115279,TRANSFER,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,26812525815,6,4x1T43MpbxuuGBwpaaKwc9KE7xYUrug72iqFCJFjiWDn
2nFMofYADecP7agJWLzsHTPWRA7KXbHinD2sc47eVW8UUWUx2MtXArJJDfMtpeoG7vkmTnfm1F64sF9iQjGagTpq,1718115279,CREATE ACCOUNT,BXjJ8aCCqHtYcMvbGa9yw62qkhYfBczLSMFkKH1NBvTG,FN1RhLFSC6bwfZPxMxRoTdmTzKuECG2Pt4G3MDmTNdCq,2039280,9,SOL
